#This document should be used as the master list, it reflects the most up to date information.
#In this document, obsids are unique and correspond to a unique directory containing data products in /x-ray
#delimiter = "  "
# CXOname, 	      OBSID,      specObjID, 	    RA, 	DEC, 	Z, 		nH,      Counts
2CXO J082443.3+295923  22513  1359098671341266944  126.18036  29.989878  0.02571454  0.03490000  NO MATCH
2CXO J122442.1+125112  22128  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J143232.4+340624  18475  1852174394328115200  218.13542  34.10705  0.04264033  0.01080000  91
2CXO J142859.9+330318  19661  2072898060421195776  217.24994  33.055082  0.12909170  0.00912000  100
2CXO J125412.0+273733  11391  2523226698233702400  193.55005  27.626096  0.08602050  0.00990000  301
2CXO J142916.8+335641  9434  2072870022874687488  217.31999  33.944822  0.13050250  0.01080000  50
2CXO J143003.1+340650  9434b  1852183740176951296  217.51301  34.114207  0.12637900  0.01110000  50
2CXO J142829.8+332953  19655  2071664957811877888  217.12312  33.498258  0.12888030  0.01010000  NO MATCH
2CXO J143544.1+350433  19677  1852241464537409536  218.93398  35.076151  0.02903509  0.00934000  43
2CXO J111816.6+074323  363  1820707470046160896  169.56912  7.723292  0.22561070  0.03200000  124
2CXO J143544.1+350433  19683  1852241464537409536  218.93398  35.076151  0.02903509  0.00934000  38
2CXO J112314.9+431208  23180  1536886134682970112  170.81206  43.202443  0.08044241  0.02670000  81
2CXO J132422.8+304714  9403  2368901440082044928  201.09517  30.787484  0.09230541  0.01280000  NO MATCH
2CXO J122442.1+125112  22175  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J151215.7+020317  19563  608136891153278976  228.0656  2.054718  0.22018880  0.03750000  4034
2CXO J155207.7+200952  10908  2445543454193772544  238.03222  20.164616  0.29689910  0.03900000  29
2CXO J143232.4+340624  13134  1852174394328115200  218.13542  34.10705  0.04264033  0.01080000  19
2CXO J122442.1+125112  21845  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J081013.0+345137  21707  1004318699718469632  122.55423  34.860239  0.08313890  0.04180000  124
2CXO J081937.7+210652  7929  2169680919336609792  124.90783  21.114303  0.01843984  0.04270000  159
2CXO J122442.1+125112  803  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J125412.0+273733  16599  2523226698233702400  193.55005  27.626096  0.08602050  0.00990000  182
2CXO J111816.6+074323  7757  1820707470046160896  169.56912  7.723292  0.22561070  0.03200000  195
2CXO J123612.8+285858  17175  2518719244812707840  189.05364  28.983016  0.22500770  0.01520000  70
2CXO J122952.3+114038  10241  1818375131911710720  187.46805  11.677455  0.08311338  0.02320000  144
2CXO J122959.5+133105  4688  1818454571626817536  187.49774  13.518277  0.09879434  0.02090000  250
2CXO J131513.8+442426  12242  1548254535527458816  198.8078  44.407361  0.03569197  0.01680000  44
2CXO J111458.0+403611  2209  1620197778997143552  168.74174  40.603168  0.07600289  0.01490000  80
